sno,Circle,Name of the Monument ,Domestic-2019-20,Foreign-2019-20,Domestic-2020-21,Foreign-2020-21,% Growth 2021-21/2019-20-Domestic,% Growth 2021-21/2019-20-Foreign
121,Chandigarh,Sheikh Chilli's Tomb,39763,46,30292,75,-23.82,63.04
122,Total,Total,131210,118,41424,89,-68.43,-24.58
123,Delhi,Khan-I-Khana,1782,45,3002,10,68.46,-77.78
124,Delhi,Sultanghari Tomb,530,6,22969,233,4233.77,3783.33
125,Delhi,Tughluqabad,76135,908,12856,109,-83.11,-88
126,Delhi,Red Fort,2200044,91364,187380,1438,-91.48,-98.43
127,Delhi,Humayun Tomb,658318,202288,243836,2381,-62.96,-98.82
128,Delhi,Qutub Minar,2048146,255318,476063,2849,-76.76,-98.88
129,Delhi,Hauzkhas,145544,2625,39837,148,-72.63,-94.36
130,Delhi,Jantar Mantar,203197,6516,76108,230,-62.54,-96.47
131,Delhi,Safdarjung Tomb,72938,15977,56776,392,-22.16,-97.55
132,Delhi,Kotla Feroz Shah,89397,810,27763,106,-68.94,-86.91
133,Delhi,Purana Qila,662300,5493,200846,936,-69.67,-82.96
134,Total,Total,6158331,581350,1347436,8832,-78.12,-98.48
135,Guwahati,Ahom Raja's Palace,44700,175,25443,69,-43.08,-60.57
